seller_name,seller_sku,daily_sales_sku,sellerboard_date
banbaloo,5Y-8TNB-GV76,478.8,2020-01-13
banbaloo,5Y-8TNB-GV76,362.51,2020-01-14
banbaloo,5Y-8TNB-GV76,230.76,2020-01-15
banbaloo,5Y-8TNB-GV76,240.68,2020-01-16
banbaloo,5Y-8TNB-GV76,416.44,2020-01-17
banbaloo,5Y-8TNB-GV76,191.78,2020-01-18
banbaloo,5Y-8TNB-GV76,401.12,2020-01-19
banbaloo,5Y-8TNB-GV76,360.11,2020-01-20
banbaloo,5Y-8TNB-GV76,453.58,2020-01-21
banbaloo,5Y-8TNB-GV76,333.02,2020-01-22
banbaloo,5Y-8TNB-GV76,619.54,2020-01-23
banbaloo,5Y-8TNB-GV76,360.95,2020-01-24
banbaloo,5Y-8TNB-GV76,401.27,2020-01-25
banbaloo,5Y-8TNB-GV76,643.2,2020-01-26
banbaloo,5Y-8TNB-GV76,433.19,2020-01-27
banbaloo,5Y-8TNB-GV76,807.29,2020-01-28
banbaloo,5Y-8TNB-GV76,433.63,2020-01-29
banbaloo,5Y-8TNB-GV76,235.25,2020-01-30
banbaloo,5Y-8TNB-GV76,416.32,2020-01-31
banbaloo,5Y-8TNB-GV76,596.69,2020-02-01
banbaloo,5Y-8TNB-GV76,426.51,2020-02-02
banbaloo,5Y-8TNB-GV76,451.58,2020-02-03
banbaloo,5Y-8TNB-GV76,353.46,2020-02-04
banbaloo,5Y-8TNB-GV76,606.97,2020-02-05
banbaloo,5Y-8TNB-GV76,307.21,2020-02-06
banbaloo,5Y-8TNB-GV76,229.08,2020-02-07
banbaloo,5Y-8TNB-GV76,117.74,2020-02-08
banbaloo,5Y-8TNB-GV76,237.05,2020-02-09
banbaloo,5Y-8TNB-GV76,504.54,2020-02-10
banbaloo,5Y-8TNB-GV76,615.39,2020-02-11
banbaloo,5Y-8TNB-GV76,505.49,2020-02-12
banbaloo,5Y-8TNB-GV76,555.85,2020-02-13
banbaloo,5Y-8TNB-GV76,193.91,2020-02-14
banbaloo,5Y-8TNB-GV76,337.23,2020-02-15
banbaloo,5Y-8TNB-GV76,399.41,2020-02-16
banbaloo,5Y-8TNB-GV76,456.95,2020-02-17
banbaloo,5Y-8TNB-GV76,483.84,2020-02-18
banbaloo,5Y-8TNB-GV76,402.33,2020-02-19
banbaloo,5Y-8TNB-GV76,321.46,2020-02-20
banbaloo,5Y-8TNB-GV76,241.92,2020-02-21
banbaloo,5Y-8TNB-GV76,403.19,2020-02-22
banbaloo,5Y-8TNB-GV76,321.58,2020-02-23
banbaloo,5Y-8TNB-GV76,623.97,2020-02-24
banbaloo,5Y-8TNB-GV76,343.99,2020-02-25
banbaloo,5Y-8TNB-GV76,622.97,2020-02-26
banbaloo,5Y-8TNB-GV76,187.29,2020-02-27
banbaloo,5Y-8TNB-GV76,408.63,2020-02-28
banbaloo,5Y-8TNB-GV76,434.92,2020-02-29
banbaloo,5Y-8TNB-GV76,682.42,2020-03-01
banbaloo,5Y-8TNB-GV76,332.18,2020-03-02
banbaloo,5Y-8TNB-GV76,332.63,2020-03-03
banbaloo,5Y-8TNB-GV76,55.44,2020-03-04
